iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Test Automation School","Create user","POST","{{baseUrl}}/user",,,,,,"Status code is 200, Response status code is 200, Validate the code field in the response, Validate the 'type' field in the response, Validate the 'message' field in the response, Response time is within acceptable range",,"6","0","6","0"
"1","Test Automation School","Delete user","DELETE","{{baseUrl}}/user/sint commodo",,,,,,,,"0","0","0","0"
"1","Test Automation School","Get user by user name","GET","{{baseUrl}}/user/sint commodo",,,,,,,,"0","0","0","0"
"1","Test Automation School","Create user","POST","{{baseUrl}}/user",,,,,,"Status code is 200, Response status code is 200, Validate the code field in the response, Validate the 'type' field in the response, Validate the 'message' field in the response, Response time is within acceptable range",,"6","0","6","0"
"1","Test Automation School","Delete user","DELETE","{{baseUrl}}/user/sint commodo",,,,,,,,"0","0","0","0"
"1","Test Automation School","Get user by user name","GET","{{baseUrl}}/user/sint commodo",,,,,,,,"0","0","0","0"
"1","Test Automation School","get books","GET","{{url}}/books",,,,,,"Status code is 200, Response status code is 200, Validate the response body is an array, Validate the 'id' field is a non-negative integer, Validate the 'name' field is a non-empty string, Validate the 'type' field is a non-empty string",,"6","0","6","0"
"1","Test Automation School","verify Id","GET","{{url}}/books/5",,,,,,"check if the id number of untamed is 5, Response status code is 200, Validate the id field, Validate the name field, Validate the author field, Validate the type field",,"6","0","6","0"
"1","Test Automation School","Order_Book Copy","POST","https://postman-echo.com/post","OK","200","1247","769","status code is 200, Response status code is 200, Response has required fields, bookId is a non-negative integer, Customer name is a non-empty string, bookName should be a non-empty string",,,"6","6","0","0"
"1","Test Automation School","Order_Book_Random_Name Copy","POST","https://postman-echo.com/post","OK","200","257","1206","status code is 200, The book name is The Russian, Response status code is 200, The 'data' object is present in the response, The data object contains the required fields, Headers object is present in the response, Headers object contains the required fields",,,"7","7","0","0"
"1","Test Automation School","Get_Books Copy","GET","{{url}}/books",,,,,,"status code is 200, Id is a non-negative integer, Name is a non-empty string, Type is a non-empty string, available is a boolean value",,"5","0","5","0"
